head,tail,relation,description(head)
CVE-2018-12882,cwe416,instanceof,exif read impl ext exif exif c php x allow attack trigger use free exif read file close stream respons close vulner code reachabl php exif read data function 
CVE-2018-12714,cwe787,instanceof,issu discov linux kernel filter pars kernel trace trace event filter c could call filter n case expect least one line read thus make n index invalid allow attack caus denial servic slab bound write possibl unspecifi impact via craft perf event open mmap system call 
CVE-2018-12699,cwe787,instanceof,finish stab stab c gnu binutil allow attack caus denial servic heap base buffer overflow possibl unspecifi impact demonstr bound write byte occur execut objdump 
CVE-2018-12697,cwe476,instanceof,null pointer derefer aka segv unknown address x discov work stuff copi cplus dem c gnu libiberti distribut gnu binutil occur execut objdump 
CVE-2018-12633,cwe362,instanceof,issu discov linux kernel vbg misc devic ioctl driver virt vboxguest vboxguest linux c read user data twice copi user header part user data doubl fetch malici user thread tamper critic variabl hdr size hdr size header two fetch race condit lead sever kernel error buffer access bug caus local denial servic inform leakag 
CVE-2018-12600,cwe787,instanceof,imagemagick q readdibimag writedibimag coder dib c allow attack caus bound write via craft file 
CVE-2018-12599,cwe787,instanceof,imagemagick q readbmpimag writebmpimag coder bmp c allow attack caus bound write via craft file 
CVE-2018-12584,cwe119,instanceof,connectionbas preparsenewbyt function resip stack connectionbas cxx resiproc allow remot attack caus denial servic buffer overflow possibl execut arbitrari code tls communic enabl 
CVE-2018-12565,cwe20,instanceof,issu discov linaro lava post use yaml load instead yaml safe load pars user data remot code execut occur 
CVE-2018-12564,cwe20,instanceof,issu discov linaro lava post support url submit page user forg http request forc lava server gunicorn return file server readabl lavaserv valid yaml 
CVE-2018-12458,cwe20,instanceof,improp integ type mpeg encod gop header function libavcodec mpeg videoenc c ffmpeg may trigger assert violat convert craft avi file mpeg lead denial servic 
CVE-2018-12293,cwe190,instanceof,getimagedata function imagebuffercairo class webcor platform graphic cairo imagebuffercairo cpp webkit use webkitgtk prior version wpe webkit prior version vulner heap base buffer overflow trigger integ overflow could abus craft html content 
CVE-2018-12265,cwe125,instanceof,exiv integ overflow loaderexifjpeg class preview cpp lead bound read exiv memio read basicio cpp 
CVE-2018-12264,cwe125,instanceof,exiv integ overflow loadertiff getdata preview cpp lead bound read exiv valuetyp setdataarea valu hpp 
CVE-2018-12233,cwe119,instanceof,ea get function fs jfs xattr c linux kernel memori corrupt bug jfs trigger call setxattr twice two differ extend attribut name file vulner trigger unprivileg user abil creat file execut program kmalloc call incorrect lead slab bound jfs xattr 
CVE-2018-12232,cwe362,instanceof,net socket c linux kernel race condit fchownat close case target socket file descriptor relat sock close sockf setattr function fchownat increment file descriptor refer count allow close set socket null fchownat execut lead null pointer derefer system crash 
CVE-2018-12029,cwe362,instanceof,race condit nginx modul phusion passeng x x allow local escal privileg non standard passeng instanc registri dir insuffici strict permiss configur replac file symlink file creat chown lead target link chown via path target sensit file root crontab file allow privileg escal 
CVE-2018-12015,cwe22,instanceof,perl archiv tar modul allow remot attack bypass directori travers protect mechan overwrit arbitrari file via archiv file contain symlink regular file name 
CVE-2018-11685,cwe119,instanceof,libloui stack base buffer overflow function compilehyphen compiletranslationt c 
CVE-2018-11684,cwe119,instanceof,libloui stack base buffer overflow function includefil compiletranslationt c 
CVE-2018-11683,cwe119,instanceof,libloui stack base buffer overflow function parsechar compiletranslationt c differ vulner cve 
CVE-2018-11529,cwe416,instanceof,videolan vlc media player x prone use free vulner attack leverag execut arbitrari code via craft mkv file fail exploit attempt like result denial servic condit 
CVE-2018-11508,cwe200,instanceof,compat get timex function kernel compat c linux kernel allow local user obtain sensit inform kernel memori via adjtimex 
CVE-2018-11506,cwe119,instanceof,sr ioctl function driver scsi sr ioctl c linux kernel allow local user caus denial servic stack base buffer overflow possibl unspecifi impact sens buffer differ size cdrom layer scsi layer demonstr cdromreadmod ioctl call 
CVE-2018-11469,cwe200,instanceof,incorrect cach respons request includ author header haproxi cach enabl allow attack achiev inform disclosur via unauthent remot request relat proto http c check request cacheabl function 
CVE-2018-11440,cwe119,instanceof,libloui stack base buffer overflow function parsechar compiletranslationt c 
CVE-2018-11412,cwe416,instanceof,linux kernel ext read inlin data fs ext inlin c perform memcpi untrust length valu certain circumst involv craft filesystem store system data extend attribut valu dedic inod 
CVE-2018-11410,cwe416,instanceof,issu discov libloui invalid free compilerul function compiletranslationt c allow remot attack caus denial servic applic crash possibl unspecifi impact 
CVE-2018-11233,cwe125,instanceof,git x x x x code saniti check pathnam ntfs result read bound memori 
CVE-2018-11232,cwe20,instanceof,etm setup aux function driver hwtrace coresight coresight etm perf c linux kernel allow attack caus denial servic panic paramet incorrect use local variabl 
CVE-2018-11219,cwe190,instanceof,integ overflow issu discov struct librari lua subsystem redi x x rc lead failur bound check 
CVE-2018-11218,cwe119,instanceof,memori corrupt discov cmsgpack librari lua subsystem redi x x rc stack base buffer overflow 
CVE-2018-10940,cwe119,instanceof,cdrom ioctl media chang function driver cdrom cdrom c linux kernel allow local attack use incorrect bound check cdrom driver cdrom media chang ioctl read kernel memori 
CVE-2018-10888,cwe125,instanceof,flaw found libgit version miss check git delta appli function delta c file may lead bound read read binari delta file attack may use flaw caus denial servic 
CVE-2018-10887,cwe125,instanceof,flaw found libgit version discov unexpect sign extens git delta appli function delta c file may lead integ overflow turn lead bound read allow read base object attack may use flaw leak memori address caus denial servic 
CVE-2018-10882,cwe787,instanceof,flaw found linux kernel ext filesystem local user caus bound write fs jbd transact c code denial servic system crash unmount craft ext filesystem imag 
CVE-2018-10881,cwe119,instanceof,flaw found linux kernel ext filesystem local user caus bound access ext get group info function denial servic system crash mount oper craft ext filesystem imag 
CVE-2018-10880,cwe787,instanceof,linux kernel vulner stack bound write ext filesystem code mount write craft ext imag ext updat inlin data attack could use caus system crash denial servic 
CVE-2018-10879,cwe416,instanceof,flaw found linux kernel ext filesystem local user caus use free ext xattr set entri function denial servic unspecifi impact may occur renam file craft ext filesystem imag 
CVE-2018-10878,cwe787,instanceof,flaw found linux kernel ext filesystem local user caus bound write denial servic unspecifi impact possibl mount oper craft ext filesystem imag 
CVE-2018-10877,cwe125,instanceof,linux kernel ext filesystem vulner bound access ext ext drop ref function oper craft ext filesystem imag 
CVE-2018-10876,cwe416,instanceof,flaw found linux kernel ext filesystem code use free possibl ext ext remov space function mount oper craft ext imag 
CVE-2018-10872,cwe119,instanceof,flaw found way linux kernel handl except deliv stack switch oper via mov ss pop ss instruct stack switch oper processor deliv interrupt except deliv first instruct stack switch execut unprivileg system user could use flaw crash system kernel result dos cve assign due regress cve red hat enterpris linux ga kernel version affect cve 
CVE-2018-10871,cwe200,instanceof,ds base version vulner cleartext storag sensit inform default replica retrochangelog plugin enabl ds base store password plaintext format respect changelog file attack suffici high privileg root directori manag queri file order retriev plaintext password 
CVE-2018-10869,cwe284,instanceof,redhat certif proper restrict file download download page remot attack may download file access user run httpd 
CVE-2018-10861,cwe287,instanceof,flaw found way ceph mon handl user request authent ceph user read access ceph delet creat ceph storag pool corrupt snapshot imag ceph branch master mimic lumin jewel believ affect 
CVE-2018-10860,cwe22,instanceof,perl archiv zip vulner directori travers archiv zip found archiv zip modul proper sanit path extract zip file attack abl provid special craft archiv process could use flaw write overwrit arbitrari file context perl interpret 
CVE-2018-10859,cwe200,instanceof,git annex vulner inform exposur decrypt file malici server special remot could trick git annex decrypt file encrypt user gpg key attack could use expos encrypt data never store git annex 
CVE-2018-10857,cwe200,instanceof,git annex vulner privat data exposur exfiltr attack could expos content file locat outsid git annex repositori content privat web server localhost lan 
CVE-2018-10852,cwe200,instanceof,unix pipe sudo use contact sssd read avail sudo rule sssd wide permiss mean anyon send messag use raw protocol sudo sssd use read sudo rule avail user affect version sssd 
CVE-2018-10850,cwe362,instanceof,ds base version vulner race condit way ds base handl persist search result crash server load anonym attack could use flaw trigger denial servic 
CVE-2018-10840,cwe119,instanceof,linux kernel vulner heap base buffer overflow fs ext xattr c ext xattr set entri function attack could exploit oper mount craft ext imag 
CVE-2018-10811,cwe665,instanceof,strongswan older allow remot denial servic miss initi variabl 
CVE-2018-10768,cwe476,instanceof,null pointer derefer annotpath getcoordslength function annot h ubuntu packag poppler craft input lead remot denial servic attack later ubuntu packag poppler affect 
CVE-2018-10675,cwe416,instanceof,get mempolici function mm mempolici c linux kernel allow local user caus denial servic use free possibl unspecifi impact via craft system call 
CVE-2018-10583,cwe200,instanceof,inform disclosur vulner occur libreoffic apach openoffic writer automat process initi smb connect embed malici file demonstr xlink href file test jpg within offic document content element odt xml document 
CVE-2018-10549,cwe125,instanceof,issu discov php x x x exif read data ext exif exif c bound read craft jpeg data exif iif add valu mishandl case makernot lack final charact 
CVE-2018-10548,cwe476,instanceof,issu discov php x x x ext ldap ldap c allow remot ldap server caus denial servic null pointer derefer applic crash mishandl ldap get dn return valu 
CVE-2018-10547,cwe79,instanceof,issu discov ext phar phar object c php x x x reflect xss phar error page via request data request phar file note vulner exist incomplet fix cve 
CVE-2018-10546,cwe400,instanceof,issu discov php x x x infinit loop exist ext iconv iconv c iconv stream filter reject invalid multibyt sequenc 
CVE-2018-10545,cwe200,instanceof,issu discov php x x x dumpabl fpm child process allow bypass opcach access control fpm unix c make pr set dumpabl prctl call allow one user multius environ obtain sensit inform process memori second user php applic run gcore pid php fpm worker process 
CVE-2018-10540,cwe787,instanceof,issu discov wavpack earlier w input bound write occur parsewav headerconfig wave c valid size unknown chunk attempt memori alloc relat lack integ overflow protect within byte copi calcul subsequ malloc call lead insuffici memori alloc 
CVE-2018-10539,cwe787,instanceof,issu discov wavpack earlier dsdiff input bound write occur parsedsdiffheaderconfig dsdiff c valid size unknown chunk attempt memori alloc relat lack integ overflow protect within byte copi calcul subsequ malloc call lead insuffici memori alloc 
CVE-2018-10538,cwe787,instanceof,issu discov wavpack earlier wav input bound write occur parseriffheaderconfig riff c valid size unknown chunk attempt memori alloc relat lack integ overflow protect within byte copi calcul subsequ malloc call lead insuffici memori alloc 
CVE-2018-10537,cwe119,instanceof,issu discov wavpack earlier w parser compon contain vulner allow write memori parsewav headerconfig wave c reject multipl format chunk 
CVE-2018-10536,cwe787,instanceof,issu discov wavpack earlier wav parser compon contain vulner allow write memori parseriffheaderconfig riff c reject multipl format chunk 
CVE-2018-10529,cwe125,instanceof,issu discov libraw bound read affect x f properti tabl list implement libraw x f cpp libraw cxx cpp 
CVE-2018-10528,cwe125,instanceof,issu discov libraw stack base buffer overflow utf char function libraw cxx cpp 
CVE-2018-10472,cwe200,instanceof,issu discov xen x allow x hvm guest os user certain configur read arbitrari dom file via qmp live insert cdrom conjunct specifi target file back file snapshot 
CVE-2018-10471,cwe787,instanceof,issu discov xen x allow x pv guest os user caus denial servic bound zero write hypervisor crash via unexpect int process incorrect fix cve 
CVE-2018-10380,cwe59,instanceof,kwallet pam kde kwallet allow local user obtain ownership arbitrari file via symlink attack 
CVE-2018-10360,cwe125,instanceof,core note function readelf c libmag file allow remot attack caus denial servic bound read applic crash via craft elf file 
CVE-2018-10323,cwe476,instanceof,xfs bmap extent btree function fs xfs libxf xfs bmap c linux kernel allow local user caus denial servic xfs bmapi write null pointer derefer via craft xfs imag 
CVE-2018-10322,cwe476,instanceof,xfs dinod verifi function fs xfs libxf xfs inod buf c linux kernel allow local user caus denial servic xfs ilock attr map share invalid pointer derefer via craft xfs imag 
CVE-2018-10194,cwe119,instanceof,set text distanc function devic vector gdevpdt c pdfwrite compon artifex ghostscript prevent overflow text posit calcul allow remot attack caus denial servic applic crash possibl unspecifi impact via craft pdf document 
CVE-2018-10184,cwe119,instanceof,issu discov haproxi incom h frame length check max frame size set instead check bufsiz max frame size appli outgo traffic incom larg enough frame size advertis set frame wrap frame defrag temporari alloc buffer second fragment may overflow heap kb unlik exploit code execut given buffer short live address realist predict product likelihood immedi crash absolut certain 
CVE-2018-10124,cwe119,instanceof,kill someth info function kernel signal c linux kernel unspecifi architectur compil use might allow local user caus denial servic via int min argument 
CVE-2018-10120,cwe119,instanceof,swctbwrapper read function sw sourc filter ww ww toolbar cxx libreoffic x valid custom index allow remot attack caus denial servic heap base buffer overflow write access possibl unspecifi impact via craft document contain certain microsoft word record 
CVE-2018-10119,cwe416,instanceof,sot sourc sdstor stgstrms cxx libreoffic x use incorrect integ data type stgsmallstrm class allow remot attack caus denial servic use free write access possibl unspecifi impact via craft document use structur storag ole wrapper file format 
CVE-2018-10102,cwe79,instanceof,wordpress version string escap get generat function could lead xss generat tag 
CVE-2018-10101,cwe601,instanceof,wordpress url valid assum url hostnam localhost host wordpress server 
CVE-2018-10100,cwe601,instanceof,wordpress redirect url login page valid sanit forc use https 
CVE-2018-10087,cwe20,instanceof,kernel wait function kernel exit c linux kernel unspecifi architectur compil use might allow local user caus denial servic trigger attempt use int min valu 
CVE-2018-10074,cwe476,instanceof,hi stub clk probe function driver clk hisilicon clk hi stub c linux kernel allow local user caus denial servic null pointer derefer trigger failur resourc retriev 
CVE-2018-9846,cwe20,instanceof,roundcub version archiv plugin enabl configur possibl exploit unsanit user control uid paramet archiv php task mail mbox inbox action plugin move archiv request perform mx imap inject attack place imap command sequenc note less easili exploit later origin polici protect mechan 
CVE-2018-9336,cwe415,instanceof,openvpnserv exe aka interact servic helper openvpn x allow local attack caus doubl free memori send malform request interact servic could caus denial servic memori corrupt possibl unspecifi impact includ privileg escal 
CVE-2018-9018,cwe369,instanceof,graphicsmagick divid zero readmngimag function coder png c remot attack could leverag vulner caus crash denial servic via craft mng file 
CVE-2018-8960,cwe119,instanceof,readtiffimag function coder tiff c imagemagick q proper restrict memori alloc lead heap base buffer read 
CVE-2018-8885,cwe362,instanceof,screenresolut mechan screen resolut extra proper use policykit bus api allow local user bypass intend access restrict leverag race condit via setuid pkexec process mishandl policykitservic check permiss call 
CVE-2018-8828,cwe119,instanceof,buffer overflow issu discov kamailio x x special craft regist messag malform branch tag trigger one heap base buffer overflow tmx check pretran function modul tmx tmx pretran c 
CVE-2018-8822,cwe119,instanceof,incorrect buffer length handl ncp read kernel function fs ncpfs ncplib kernel c linux kernel driver stage ncpfs ncplib kernel c linux kernel rc rc could exploit malici ncpfs server crash kernel execut code 
CVE-2018-8781,cwe190,instanceof,udl fb mmap function driver gpu drm udl udl fb c linux kernel version includ integ overflow vulner allow local user access udldrmfb driver obtain full read write permiss kernel physic page result code execut kernel space 
CVE-2018-8780,cwe22,instanceof,rubi x x x preview dir open dir new dir entri dir empti method check null charact use correspond method unintent directori travers may perform 
CVE-2018-8779,cwe20,instanceof,rubi x x x preview unixserv open unixsocket open method check null charact may connect unintend socket 
CVE-2018-8778,cwe200,instanceof,rubi x x x preview attack control unpack format similar format string vulner trigger buffer read string unpack method result massiv control inform disclosur 
CVE-2018-8764,cwe352,instanceof,roland gruber softwareentwicklung ldap account manag place csrf token sec token paramet uri make easier remot attack defeat csrf protect mechan leverag log 
CVE-2018-8763,cwe79,instanceof,roland gruber softwareentwicklung ldap account manag xss via dn paramet templat rdparti pla htdoc cmd php uri templat paramet templat rdparti pla htdoc cmd php cmd renam form uri 
CVE-2018-8754,cwe125,instanceof,disput libevt record valu read event function libevt record valu c libevt proper check bound valu user sid data size string size data size note vendor disput describ libyal libevt issu github 
CVE-2018-8741,cwe22,instanceof,directori travers flaw squirrelmail allow authent attack exfiltr potenti delet file host server relat att local name field deliv class php 
CVE-2018-8088,cwe502,instanceof,org slf j ext eventdata slf j ext modul qos ch slf j beta allow remot attack bypass intend access restrict via craft data 
CVE-2018-8048,cwe79,instanceof,loofah gem rubi non whitelist html attribut may occur sanit output republish craft html fragment 
CVE-2018-8043,cwe476,instanceof,unimac mdio probe function driver net phi mdio bcm unimac c linux kernel valid certain resourc avail allow local user caus denial servic null pointer derefer 
CVE-2018-8013,cwe502,instanceof,apach batik x deseri subclass abstractdocu class take string inputstream class name use call arg constructor class fix check class type call newinst deseri 
CVE-2018-8012,cwe306,instanceof,authent author enforc server attempt join quorum apach zookeep alpha beta result arbitrari end point could join cluster begin propag counterfeit chang leader 
CVE-2018-7998,cwe362,instanceof,libvip null function pointer derefer vulner found vip region generat function region c allow remot attack caus denial servic possibl unspecifi impact via craft imag file occur race condit involv fail delay load worker thread 
CVE-2018-7995,cwe362,instanceof,disput race condit store int restart function arch x kernel cpu mcheck mce c linux kernel allow local user caus denial servic panic leverag root access write check interv file sys devic system machinecheck machinecheck cpu number directori note third parti indic report secur relev 
CVE-2018-7877,cwe119,instanceof,heap base buffer overflow getstr function util decompil c libm doubl data craft input lead denial servic attack 
CVE-2018-7875,cwe119,instanceof,heap base buffer read getstr function util decompil c libm constant data craft input lead denial servic attack 
CVE-2018-7874,cwe119,instanceof,invalid memori address derefer discov strlenext util decompil c libm vulner caus segment fault applic crash lead denial servic 
CVE-2018-7873,cwe119,instanceof,heap base buffer overflow getstr function util decompil c libm integ data craft input lead denial servic attack 
CVE-2018-7872,cwe119,instanceof,invalid memori address derefer discov function getnam libm constant data vulner caus segment fault applic crash lead denial servic 
CVE-2018-7871,cwe119,instanceof,heap base buffer read getnam function util decompil c libm constant data craft input lead denial servic possibl unspecifi impact 
CVE-2018-7870,cwe119,instanceof,invalid memori address derefer discov getstr util decompil c libm constant data vulner caus segment fault applic crash lead denial servic 
CVE-2018-7868,cwe119,instanceof,heap base buffer read getnam function util decompil c libm constant data craft input lead denial servic attack 
CVE-2018-7867,cwe119,instanceof,heap base buffer overflow getstr function util decompil c libm registernumb sprintf craft input lead denial servic attack 
CVE-2018-7866,cwe476,instanceof,null pointer derefer discov newvar util decompil c libm vulner caus segment fault applic crash lead denial servic 
CVE-2018-7755,cwe200,instanceof,issu discov fd lock ioctl function driver block floppi c linux kernel floppi driver copi kernel pointer user memori respons fdgetprm ioctl attack send fdgetprm ioctl use obtain kernel pointer discov locat kernel code data bypass kernel secur protect kaslr 
CVE-2018-7740,cwe119,instanceof,resv map releas function mm hugetlb c linux kernel allow local user caus denial servic bug via craft applic make mmap system call larg pgoff argument remap file page system call 
CVE-2018-7711,cwe347,instanceof,httpredirect php saml librari simplesamlphp incorrect check return valu signatur valid util allow attack get invalid signatur accept valid forc error valid occur depend php function interpret error code true boolean valu 
CVE-2018-7600,cwe20,instanceof,drupal x x x allow remot attack execut arbitrari code issu affect multipl subsystem default common modul configur 
CVE-2018-7566,cwe119,instanceof,linux kernel buffer overflow via sndrv seq ioctl set client pool ioctl write oper dev snd seq local user 
CVE-2018-7556,cwe200,instanceof,limesurvey x x x x mishandl applic control installercontrol php instal allow remot attack access configur file 
CVE-2018-7554,cwe416,instanceof,invalid free readimag input bmp ci lead segment fault sam p craft input lead denial servic possibl unspecifi impact 
CVE-2018-7553,cwe119,instanceof,heap base buffer overflow pcxloadrast function pcx cpp sam p craft input lead denial servic possibl unspecifi impact 
CVE-2018-7552,cwe119,instanceof,invalid free map doublehash clear map cpp lead segment fault sam p craft input lead denial servic possibl unspecifi impact 
CVE-2018-7551,cwe416,instanceof,invalid free minip delet minip cpp lead segment fault sam p craft input lead denial servic possibl unspecifi impact 
CVE-2018-7542,cwe476,instanceof,issu discov xen x x allow x pvh guest os user caus denial servic null pointer derefer hypervisor crash leverag mishandl configur lack local apic 
CVE-2018-7540,cwe400,instanceof,issu discov xen x allow x pv guest os user caus denial servic host os cpu hang via non preemptabl l l paget free 
CVE-2018-7537,cwe185,instanceof,issu discov django django util text truncat char word method pass html true argument extrem slow evalu certain input due catastroph backtrack vulner regular express char word method use implement truncatechar html truncateword html templat filter thus vulner 
CVE-2018-7536,cwe185,instanceof,issu discov django django util html urliz function extrem slow evalu certain input due catastroph backtrack vulner two regular express one regular express django x urliz function use implement urliz urlizetrunc templat filter thus vulner 
CVE-2018-7492,cwe476,instanceof,null pointer derefer found net rds rdma c rds rdma map function linux kernel allow local attack caus system panic denial servic relat rds get mr rds get mr dest 
CVE-2018-7490,cwe22,instanceof,uwsgi mishandl document root check use php docroot option allow directori travers 
CVE-2018-7480,cwe415,instanceof,blkcg init queue function block blk cgroup c linux kernel allow local user caus denial servic doubl free possibl unspecifi impact trigger creation failur 
CVE-2018-7440,cwe77,instanceof,issu discov leptonica gplotmakeoutput function allow command inject via command approach gplot rootnam argument issu exist incomplet fix cve 
CVE-2018-7273,cwe200,instanceof,linux kernel floppi driver reveal address kernel function global variabl use printk call within function show floppi driver block floppi c attack read inform dmesg use address find locat kernel code data bypass kernel secur protect kaslr 
CVE-2018-7254,cwe119,instanceof,parsecaffheaderconfig function cli caff c file wavpack allow remot attack caus denial servic global buffer read possibl trigger buffer overflow incorrect memori alloc via malici craft caf file 
CVE-2018-7253,cwe119,instanceof,parsedsdiffheaderconfig function cli dsdiff c file wavpack allow remot attack caus denial servic heap base buffer read possibl overwrit heap via malici craft dsdiff file 
CVE-2018-7187,cwe20,instanceof,go get implement go insecur command line option use valid import path get vcs go check anywher string allow remot attack execut arbitrari os command via craft web site 
CVE-2018-7186,cwe119,instanceof,leptonica limit number charact format argument fscanf sscanf allow remot attack caus denial servic stack base buffer overflow possibl unspecifi impact via long string demonstr gplotread ptareadstream function 
CVE-2018-7185,cwe20,instanceof,protocol engin ntp p allow remot attack caus denial servic disrupt continu send packet zero origin timestamp sourc ip address side interleav associ caus victim ntpd reset associ 
CVE-2018-7184,cwe20,instanceof,ntpd ntp p p drop bad packet updat receiv timestamp allow remot attack caus denial servic disrupt send packet zero origin timestamp caus associ reset set content packet recent timestamp issu result incomplet fix cve 
CVE-2018-6942,cwe476,instanceof,issu discov freetyp null pointer derefer in getvari function within ttinterp c could lead dos via craft font file 
CVE-2018-6927,cwe190,instanceof,futex requeu function kernel futex c linux kernel might allow attack caus denial servic integ overflow possibl unspecifi impact trigger negat wake requeu valu 
CVE-2018-6914,cwe22,instanceof,directori travers vulner dir mktmpdir method tmpdir librari rubi x x x preview might allow attack creat arbitrari directori file via dot dot prefix argument 
CVE-2018-6913,cwe119,instanceof,heap base buffer overflow pack function perl allow context depend attack execut arbitrari code via larg item count 
CVE-2018-6799,cwe119,instanceof,acquirecachenexus function magick pixel cach c graphicsmagick allow remot attack caus denial servic heap overwrit possibl unspecifi impact via craft imag file pixel stage area use 
CVE-2018-6798,cwe119,instanceof,issu discov perl match craft local depend regular express caus heap base buffer read potenti inform disclosur 
CVE-2018-6797,cwe119,instanceof,issu discov perl craft regular express caus heap base buffer overflow control byte written 
CVE-2018-6791,cwe77,instanceof,issu discov soliduiserv deviceserviceact cpp kde plasma workspac vfat thumbdriv contain volum label plug mount devic notifi interpret shell command lead possibl arbitrari command execut exampl offend volum label touch b creat file call b home folder 
CVE-2018-6789,cwe119,instanceof,issu discov base function smtp listen exim send handcraft messag buffer overflow may happen use execut code remot 
CVE-2018-6596,cwe200,instanceof,webhook base py anymail aka django anymail prone time attack vulner webhook author secret allow remot attack post arbitrari e mail track event 
CVE-2018-6412,cwe200,instanceof,function sbusfb ioctl helper driver video fbdev sbuslib c linux kernel integ signed error allow arbitrari inform leakag fbioputcmap sparc fbiogetcmap sparc command 
CVE-2018-6360,cwe20,instanceof,mpv allow remot attack execut arbitrari code via craft web site read html document contain video element accept arbitrari url src attribut without protocol whitelist player lua ytdl hook lua exampl av lavfi ladspa file url signifi product call dlopen share object file locat arbitrari local pathnam issu exist product consid youtub dl provid potenti unsaf url 
CVE-2018-5873,cwe416,instanceof,issu discov ns get path function fs nsfs c linux kernel due race condit access file use free condit occur also affect android releas caf use linux kernel android msm firefox os msm qrd android secur patch level 
CVE-2018-5814,cwe362,instanceof,linux kernel version multipl race condit error handl probe disconnect rebind oper exploit trigger use free condit null pointer derefer send multipl usb ip packet 
CVE-2018-5803,cwe20,instanceof,linux kernel version error sctp make chunk function net sctp sm make chunk c handl sctp packet length exploit caus kernel crash 
CVE-2018-5750,cwe200,instanceof,acpi smbus hc add function driver acpi sbshc c linux kernel allow local user obtain sensit address inform read dmesg data sbs hc printk call 
CVE-2018-5704,cwe134,instanceof,open chip debugg openocd block attempt use http post send data port allow remot attack conduct cross protocol script attack consequ execut arbitrari command via craft web site 
CVE-2018-5703,cwe787,instanceof,tcp v syn recv sock function net ipv tcp ipv c linux kernel allow attack caus denial servic slab bound write possibl unspecifi impact via vector involv tls 
CVE-2018-5388,cwe119,instanceof,stroke socket c strongswan miss packet length check could allow buffer underflow may lead resourc exhaust denial servic read socket 
CVE-2018-5381,cwe400,instanceof,quagga bgp daemon bgpd prior version bug pars capabl bgp open messag bgp packet c bgp capabl msg pars function parser enter infinit loop invalid capabl multi protocol capabl recogn afi safi caus denial servic 
CVE-2018-5380,cwe125,instanceof,quagga bgp daemon bgpd prior version overrun intern bgp code string convers tabl use debug pointer valu base input 
CVE-2018-5379,cwe415,instanceof,quagga bgp daemon bgpd prior version doubl free memori process certain form updat messag contain cluster list unknown attribut success attack could caus denial servic potenti allow attack execut arbitrari code 
CVE-2018-5378,cwe119,instanceof,quagga bgp daemon bgpd prior version proper bound check data sent notifi peer attribut length invalid arbitrari data bgpd process may sent network peer bgpd may crash 
CVE-2018-5344,cwe416,instanceof,linux kernel driver block loop c mishandl lo releas serial allow attack caus denial servic lock acquir use free possibl unspecifi impact 
CVE-2018-5333,cwe476,instanceof,linux kernel rds cmsg atom function net rds rdma c mishandl case page pin fail invalid address suppli lead rds atom free op null pointer derefer 
CVE-2018-5332,cwe787,instanceof,linux kernel rds messag alloc sgs function valid valu use dma page alloc lead heap base bound write relat rds rdma extra size function net rds rdma c 
CVE-2018-5185,cwe200,instanceof,plaintext decrypt email leak user submit embed form vulner affect thunderbird esr thunderbird 
CVE-2018-5184,cwe326,instanceof,use remot content encrypt messag lead disclosur plaintext vulner affect thunderbird esr thunderbird 
CVE-2018-5183,cwe119,instanceof,mozilla develop backport select chang skia librari chang correct memori corrupt issu includ invalid buffer read write graphic oper vulner affect thunderbird esr thunderbird firefox esr 
CVE-2018-5182,cwe200,instanceof,text string happen filenam oper system nativ format drag drop onto addressbar specifi local file open contrari polici would happen string equival file url vulner affect firefox 
CVE-2018-5181,cwe200,instanceof,url use file protocol drag drop onto open tab run differ child process tab open local file correspond drop url contrari polici one way make target tab open reliabl separ process open noopen keyword vulner affect firefox 
CVE-2018-5180,cwe416,instanceof,use free vulner occur webgl oper result potenti exploit crash vulner limit memori freed reus brief window time free callstack vulner affect firefox 
CVE-2018-5178,cwe119,instanceof,buffer overflow found utf unicod string convers within javascript extrem larg amount data vulner requir use malici vulner legaci extens order occur vulner affect thunderbird esr thunderbird firefox esr 
CVE-2018-5177,cwe119,instanceof,vulner exist xslt number format negat buffer size may alloc instanc lead buffer overflow crash occur vulner affect firefox 
CVE-2018-5176,cwe20,instanceof,json viewer display clickabl hyperlink string parseabl url includ javascript link json file contain malici javascript script embed javascript link user may trick click run code context json viewer allow theft cooki author token access context vulner affect firefox 
CVE-2018-5175,cwe20,instanceof,mechan bypass content secur polici csp protect site script src polici strict dynam target websit contain html inject flaw attack could inject refer copi requir js librari part firefox develop tool use known techniqu use librari bypass csp restrict execut inject script vulner affect firefox 
CVE-2018-5173,cwe20,instanceof,filenam appear download panel improp render unicod charact allow file name spoof use obscur file extens potenti execut file user view panel note dialog open file show full correct filenam whether execut vulner affect firefox 
CVE-2018-5172,cwe74,instanceof,live bookmark page pdf viewer run inject script content user past script clipboard view rss feed pdf file could allow malici site social engin user copi past malici script content could run context either page allow privileg escal vulner affect firefox 
CVE-2018-5170,cwe20,instanceof,possibl spoof filenam attach display arbitrari attach name could lead user open remot attach differ file type expect vulner affect thunderbird esr thunderbird 
CVE-2018-5169,cwe20,instanceof,manipul hyperlink text chrome url contain drag drop home icon home page reset includ normal unlink chrome page one home page tab vulner affect firefox 
CVE-2018-5167,cwe20,instanceof,web consol javascript debugg sanit output hyperlink display chrome link activ clickabl hyperlink output web site abl direct link intern chrome page addit javascript debugg display javascript link user could trick click malici site vulner affect firefox 
